no,Row_Num,Customer_ID,Product,First_Transaction,Last_Transaction,Average_Transaction_Amount,Count_Transaction,Year_First_Transaction,Year_Last_Transaction,is_churn,Year_Diff
102,102,155669,Jaket,2017-07-07 07:48:42.161000013,2019-01-22 04:18:54.665999889,800391,74,2017,2019,False,2
103,103,64556,Sepatu,2016-02-19 08:56:56.778000116,2019-01-29 03:50:38.638000011,2053949,31,2016,2019,False,3
104,104,79723,Sepatu,2017-08-07 13:40:34.727999926,2019-01-06 11:35:32.622999907,788192,33,2017,2019,False,2
105,105,79723,Jaket,2017-03-29 13:23:29.573999882,2019-02-01 09:34:34.292000055,350013,74,2017,2019,False,2
106,106,141564,Sepatu,2017-04-27 03:46:14.631999969,2018-09-04 02:57:24.532999992,1974913,295,2017,2018,False,1
107,107,40908,Jaket,2015-03-13 10:05:23.727999926,2018-10-31 00:42:43.019999981,483940,47,2015,2018,False,3
108,108,40908,Sepatu,2016-08-22 01:33:34.578999996,2018-10-30 04:02:52.947000027,1217313,31,2016,2018,False,2
109,109,49641,Sepatu,2015-07-12 22:26:24.581000090,2018-06-27 07:46:09.861999989,3102063,25,2015,2018,True,3
110,110,44275,Sepatu,2015-05-02 12:09:09.117000103,2018-07-27 03:37:10.566999912,1196955,38,2015,2018,True,3
111,111,110674,Tas,2017-04-18 20:05:28.000000000,2018-09-30 17:48:37.000000000,174663,82,2017,2018,False,1
112,112,52946,Sepatu,2015-08-25 14:19:07.884000063,2018-08-01 04:23:28.569999933,1023163,36,2015,2018,False,3
113,113,61295,Tas,2018-01-09 02:21:08.000000000,2019-01-31 13:07:48.000000000,293044,36,2018,2019,False,1
114,114,33077,Sepatu,2014-10-12 03:47:35.065000057,2018-11-01 10:18:17.381000042,1136949,28,2014,2018,False,4
115,115,30542,Sepatu,2014-09-26 13:14:37.711999893,2018-04-13 05:36:31.595999956,2587582,36,2014,2018,True,4
116,116,94211,Sepatu,2016-08-23 10:25:31.871999979,2019-01-29 07:58:11.135999918,1849125,87,2016,2019,False,3
117,117,469393,Sepatu,2018-06-30 16:46:39.365999937,2019-01-26 23:50:04.578999996,1276993,33,2018,2019,False,1
118,118,469393,Tas,2018-05-23 07:01:43.000000000,2019-01-26 23:41:34.000000000,457735,37,2018,2019,False,1
119,119,59068,Sepatu,2015-12-02 05:58:11.075000048,2018-09-17 14:04:36.915999889,1091951,69,2015,2018,False,3
120,120,59068,Jaket,2015-12-16 01:41:02.855999947,2018-04-10 09:40:16.302000046,598871,58,2015,2018,True,3
121,121,142942,Sepatu,2017-05-02 05:35:11.552000046,2018-12-26 05:46:14.796999931,1133736,39,2017,2018,False,1
122,122,56203,Sepatu,2015-10-25 19:15:02.312000036,2019-01-16 07:34:35.493000031,1199878,42,2015,2019,False,4
123,123,28352,Sepatu,2014-06-25 14:52:58.167999983,2018-12-23 03:19:27.907999992,1550555,60,2014,2018,False,4
124,124,28352,Jaket,2014-12-21 05:45:00.944000006,2018-12-22 09:23:46.463000059,1532784,27,2014,2018,False,4
125,125,36245,Sepatu,2014-12-20 02:48:53.668999910,2018-10-15 06:47:36.992000103,1936845,33,2014,2018,False,4
126,126,32809,Sepatu,2014-10-03 07:50:11.657000065,2018-07-26 16:09:00.483999968,2209432,58,2014,2018,True,4
127,127,28021,Sepatu,2014-06-10 10:56:42.375999928,2018-06-29 02:30:15.868999958,1194690,48,2014,2018,True,4
128,128,153044,Tas,2017-06-10 15:36:38.000000000,2018-11-29 06:51:57.000000000,167607,28,2017,2018,False,1
129,129,31714,Jaket,2015-12-11 13:06:25.367000103,2019-01-03 05:14:36.240999937,934348,28,2015,2019,False,4
130,130,31714,Tas,2017-05-31 15:44:41.000000000,2018-11-25 05:14:53.000000000,226900,37,2017,2018,False,1
131,131,32703,Sepatu,2015-05-21 06:38:51.747999907,2019-01-20 00:56:56.338000059,1551984,26,2015,2019,False,4
132,132,38783,Sepatu,2017-01-13 08:35:03.933000088,2019-01-07 16:29:35.226000071,2074257,23,2017,2019,False,2
133,133,43513,Sepatu,2016-06-10 06:55:52.121999979,2018-10-13 09:54:17.926000118,1540422,22,2016,2018,False,2
134,134,58406,Jaket,2015-11-23 10:51:46.342999935,2019-01-22 10:01:36.568000078,1374732,52,2015,2019,False,4
135,135,42099,Jaket,2015-10-06 12:41:57.655999899,2018-10-31 07:45:46.167999983,500586,26,2015,2018,False,3
136,136,47035,Sepatu,2015-06-11 02:26:24.180000067,2018-11-28 11:23:19.759000063,1490026,39,2015,2018,False,3
137,137,47035,Tas,2017-02-08 17:50:04.252000092,2018-09-12 04:17:40.000000000,444207,25,2017,2018,False,1
138,138,47035,Jaket,2016-05-10 09:12:56.500000000,2018-03-19 00:31:07.255000114,979639,28,2016,2018,True,2
139,139,27841,Jaket,2016-04-30 12:33:50.930999994,2018-11-16 08:43:31.494999886,880806,68,2016,2018,False,2
140,140,27841,Sepatu,2014-06-03 13:47:56.913000107,2019-01-11 18:43:14.592999935,1474828,458,2014,2019,False,5
141,141,45385,Sepatu,2015-05-19 03:21:06.252000092,2018-11-06 22:22:32.059000015,1006563,230,2015,2018,False,3
142,142,45385,Jaket,2015-11-17 11:58:04.865999937,2019-01-27 12:03:05.016000032,520390,42,2015,2019,False,4
143,143,76835,Sepatu,2016-10-20 12:25:38.398000002,2018-11-27 14:17:22.924000025,3081663,23,2016,2018,False,2
144,144,57726,Sepatu,2015-11-13 03:22:01.818000078,2018-12-18 10:09:16.951999903,2021819,54,2015,2018,False,3
145,145,57260,Sepatu,2015-11-06 01:58:44.312000036,2018-12-10 11:11:45.476999998,2426385,36,2015,2018,False,3
146,146,32068,Sepatu,2014-09-13 17:15:27.529000044,2018-09-12 05:21:20.799999952,1362588,102,2014,2018,False,4
147,147,33811,Sepatu,2014-11-03 08:53:57.698999882,2019-01-08 08:11:27.138000011,5281461,48,2014,2019,False,5
148,148,165468,Jaket,2017-09-28 07:51:14.486000061,2019-01-22 05:40:58.522000074,509552,30,2017,2019,False,2
149,149,40763,Sepatu,2015-03-09 02:33:38.112999916,2018-07-01 08:39:51.967999935,1525039,23,2015,2018,True,3
150,150,61808,Jaket,2018-06-25 01:46:38.914999962,2018-11-21 14:05:12.135999918,3550366,21,2018,2018,False,0
151,151,61808,Sepatu,2018-06-30 16:10:47.566999912,2019-02-01 05:25:18.750000000,3763249,31,2018,2019,False,1
152,152,32347,Sepatu,2016-01-23 02:13:14.267999887,2018-09-21 01:24:48.887000084,1997531,28,2016,2018,False,2
153,153,94094,Sepatu,2017-06-16 04:08:07.878999949,2019-02-01 11:34:37.533999919,1226183,87,2017,2019,False,2
154,154,41232,Sepatu,2015-03-20 11:51:42.153000116,2019-02-01 15:08:54.691999912,1600970,48,2015,2019,False,4
155,155,154689,Sepatu,2017-06-16 11:07:50.510999918,2019-01-10 14:18:22.522000074,1187825,22,2017,2019,False,2
156,156,154689,Jaket,2017-06-20 06:59:50.852999926,2018-10-17 12:36:33.977999926,618322,36,2017,2018,False,1
157,157,154689,Tas,2017-10-21 07:26:44.000000000,2018-10-16 08:42:25.000000000,415055,37,2017,2018,False,1
158,158,46315,Tas,2017-01-26 08:10:23.405999899,2019-01-01 02:12:03.000000000,387055,32,2017,2019,False,2
159,159,38650,Sepatu,2015-02-08 07:41:28.678999901,2019-01-15 05:17:33.460999966,1030580,26,2015,2019,False,4
160,160,31583,Sepatu,2016-01-01 11:48:48.654000044,2018-12-18 03:17:58.674000025,1141873,30,2016,2018,False,2
161,161,143488,Jaket,2017-06-04 03:05:43.792999983,2019-01-23 07:07:33.198999882,598324,74,2017,2019,False,2
162,162,34049,Sepatu,2014-11-09 08:31:44.138999939,2019-01-24 00:24:39.976999998,606331,42,2014,2019,False,5
163,163,34619,Jaket,2014-12-04 07:49:55.263999939,2018-12-26 08:25:53.565999985,902695,54,2014,2018,False,4
164,164,34619,Sepatu,2016-03-21 03:55:49.371000051,2018-11-24 14:33:26.717999935,1326014,33,2016,2018,False,2
165,165,67168,Sepatu,2017-06-21 16:37:16.190000057,2018-10-23 14:24:29.701999903,1730539,23,2017,2018,False,1
166,166,32188,Sepatu,2014-09-17 02:04:22.428999901,2018-08-21 13:30:49.799000025,1425549,82,2014,2018,False,4
167,167,61627,Jaket,2015-12-25 11:05:04.450000048,2018-12-17 16:36:46.917999983,873851,31,2015,2018,False,3
168,168,34090,Sepatu,2014-12-31 04:56:13.217000008,2019-02-01 00:48:59.934999943,3011127,137,2014,2019,False,5
169,169,34090,Sepatu,2014-12-31 04:56:13.217000008,2019-02-01 00:48:59.934999943,3011127,137,2014,2019,False,5
170,170,154202,Jaket,2017-06-23 06:23:00.505000114,2019-01-25 10:30:19.240000010,332497,55,2017,2019,False,2
171,171,33469,Sepatu,2015-10-15 07:23:56.894000053,2019-01-20 15:05:56.927999973,1229530,27,2015,2019,False,4
172,172,43431,Sepatu,2015-04-18 20:38:31.385999918,2018-07-02 01:09:53.716000080,3769196,22,2015,2018,True,3
173,173,54618,Tas,2017-10-25 11:22:16.000000000,2019-01-31 00:48:38.000000000,160430,55,2017,2019,False,2
174,174,33309,Sepatu,2014-10-20 02:02:21.914999962,2018-08-11 01:39:42.605999947,767664,138,2014,2018,False,4
175,175,596807,Jaket,2018-08-08 07:46:33.301000118,2019-01-30 13:15:17.927999973,873102,21,2018,2019,False,1
176,176,596807,Sepatu,2018-08-08 07:39:01.953000069,2019-01-31 03:14:59.915999889,1088557,41,2018,2019,False,1
177,177,96244,Jaket,2017-02-27 04:08:16.691999912,2019-01-15 07:54:10.664999962,603604,27,2017,2019,False,2
178,178,29791,Sepatu,2014-08-20 12:25:46.068000078,2017-08-25 05:42:07.480999947,1642534,26,2014,2017,True,3
179,179,27121,Sepatu,2014-05-06 10:24:05.894999981,2017-12-30 07:56:50.210000038,1282561,22,2014,2017,True,3
180,180,26912,Sepatu,2014-04-28 12:11:51.920000076,2018-11-16 05:15:17.756999969,1158332,139,2014,2018,False,4
181,181,26912,Tas,2017-03-21 13:01:33.000000000,2018-11-09 03:32:57.000000000,445115,21,2017,2018,False,1
182,182,142265,Sepatu,2017-06-12 07:14:13.526999950,2018-10-19 01:05:10.920000076,2329922,32,2017,2018,False,1
183,183,142265,Tas,2017-08-07 09:56:05.000000000,2018-08-18 06:51:48.000000000,184796,21,2017,2018,False,1
184,184,142265,Jaket,2017-05-02 12:34:33.244999886,2018-12-01 07:29:13.017999887,718803,130,2017,2018,False,1
185,185,153494,Sepatu,2017-06-12 12:27:53.466000080,2018-06-14 07:23:07.165999889,705073,21,2017,2018,True,1
186,186,126371,Sepatu,2017-02-27 22:01:17.434999943,2018-12-05 08:14:56.131999969,1039912,23,2017,2018,False,1
187,187,126371,Jaket,2017-07-29 09:04:31.111000061,2019-01-01 04:35:20.710000038,339956,21,2017,2019,False,2
188,188,45577,Jaket,2017-06-03 10:58:38.184999943,2018-12-09 02:53:49.542999983,1540560,21,2017,2018,False,1
189,189,45577,Tas,2018-01-07 05:19:05.000000000,2019-01-11 01:17:42.000000000,370844,28,2018,2019,False,1
190,190,45577,Sepatu,2015-05-21 15:13:44.529999970,2019-01-18 12:23:23.913000107,1919006,75,2015,2019,False,4
191,191,62578,Sepatu,2016-02-12 05:22:11.464999914,2019-01-06 01:01:19.121999979,1059981,70,2016,2019,False,3
192,192,62578,Jaket,2016-01-04 07:42:25.696000099,2019-01-23 23:23:42.818000078,580138,37,2016,2019,False,3
193,193,33594,Sepatu,2015-06-26 06:18:25.905999899,2018-04-23 07:09:57.483999968,1560811,22,2015,2018,True,3
194,194,49777,Jaket,2015-07-15 01:06:17.772000074,2019-01-24 10:45:10.105000019,1501151,30,2015,2019,False,4
195,195,26152,Sepatu,2014-03-18 12:53:27.987999916,2018-11-20 10:34:19.559000015,1332808,33,2014,2018,False,4
196,196,26152,Jaket,2015-02-22 16:40:54.605000019,2018-12-07 04:44:59.361000061,290382,22,2015,2018,False,3
197,197,148132,Jaket,2017-07-30 04:56:07.335000038,2019-01-16 08:57:35.546000004,764239,22,2017,2019,False,2
198,198,148132,Sepatu,2017-05-28 07:31:47.427000046,2019-01-16 07:59:48.460000038,1467446,48,2017,2019,False,2
199,199,31827,Sepatu,2014-12-22 11:53:30.835999966,2019-01-10 14:18:24.010999918,1325651,43,2014,2019,False,5
200,200,90770,Sepatu,2016-08-02 13:28:04.128999949,2018-11-05 13:42:23.357000113,1703095,31,2016,2018,False,2
201,201,180151,Sepatu,2017-09-26 04:01:41.040999889,2018-12-20 09:23:23.303999901,9742080,66,2017,2018,False,1
202,202,45854,Sepatu,2015-05-25 22:09:14.480999947,2019-01-18 12:13:33.733000040,2122392,199,2015,2019,False,4
203,203,31344,Sepatu,2014-10-07 03:00:21.220999956,2019-01-22 13:23:32.476000071,1268050,34,2014,2019,False,5
204,204,60430,Jaket,2015-12-16 03:24:48.572999954,2019-01-18 02:37:15.601999998,1262958,97,2015,2019,False,4
205,205,3284,Sepatu,2015-07-17 14:04:58.721999884,2018-10-28 09:06:17.088999987,2093058,124,2015,2018,False,3
206,206,3284,Jaket,2015-07-30 12:48:34.584000111,2019-02-01 11:15:44.901000023,1286852,413,2015,2019,False,4
207,207,133178,Jaket,2017-04-11 06:05:12.621999979,2019-01-23 03:16:54.727999926,608970,77,2017,2019,False,2
208,208,26457,Sepatu,2014-04-17 02:16:00.466000080,2017-06-06 08:18:45.249000072,995495,38,2014,2017,True,3
209,209,78952,Sepatu,2016-06-29 13:15:31.299999952,2019-01-27 03:03:55.993999958,1324861,25,2016,2019,False,3
210,210,63040,Jaket,2016-01-14 07:40:25.926000118,2019-01-22 06:00:07.476000071,1000305,109,2016,2019,False,3
211,211,63040,Sepatu,2016-01-09 07:04:30.194999933,2019-01-20 09:39:44.154000044,1983120,154,2016,2019,False,3
212,212,143888,Jaket,2017-05-25 03:04:35.523999929,2018-10-23 13:21:03.709000111,423369,25,2017,2018,False,1
213,213,143888,Tas,2017-05-14 07:39:13.000000000,2019-01-27 12:52:38.000000000,424236,53,2017,2019,False,2
214,214,40993,Sepatu,2015-05-03 05:57:57.783999920,2018-09-08 10:24:52.266999959,1418136,22,2015,2018,False,3
215,215,29667,Sepatu,2014-07-21 13:04:41.611000061,2018-04-26 06:15:35.823999882,1298165,58,2014,2018,True,4
216,216,128018,Tas,2017-05-16 09:20:40.000000000,2019-01-07 01:55:22.000000000,136801,22,2017,2019,False,2
217,217,44009,Sepatu,2015-05-21 02:35:31.515000105,2019-02-01 15:03:12.328999996,1520285,65,2015,2019,False,4
218,218,56742,Sepatu,2015-11-16 13:14:09.062000036,2018-12-04 01:24:03.213999987,1264158,30,2015,2018,False,3
219,219,63748,Sepatu,2016-01-19 08:17:00.252000092,2019-01-30 06:26:16.605000019,2344116,36,2016,2019,False,3
220,220,133439,Tas,2017-03-30 23:11:08.000000000,2019-01-30 13:12:24.000000000,319771,55,2017,2019,False,2
221,221,97842,Sepatu,2016-09-17 07:24:09.391999960,2018-12-30 13:05:22.678999901,751427,46,2016,2018,False,2
222,222,54793,Jaket,2017-10-06 06:32:56.043999910,2019-01-19 10:49:47.400000095,260745,28,2017,2019,False,2
